Title,URL,Registration Year,Make,Model,Trim,KMs Driven,No. of Owners,Transmission,Fuel Type,Body Type,Registration,Location
2013 Volkswagen Vento 1.2L TSI Highline Plus AT,https://droom.in/product/volkswagen-vento-12l-tsi-highline-plus-at-2013-679b30d44de5573c198b45c8,2013,Volkswagen,Vento,1.2L TSI HIGHLINE PLUS AT,68000.0,2.0,Automatic,Petrol,Sedan,DL 4C,Delhi
2017 Maruti Suzuki Ciaz VDi SHVS,https://droom.in/product/maruti-suzuki-ciaz-vdi-shvs-2017-68597a134de5576b138b459a,2017,Maruti Suzuki,Ciaz,VDI SHVS,97123.0,1.0,Manual,Diesel,Sedan,UP 11,Saharanpur (UP)
2015 Mahindra XUV500 W4,https://droom.in/product/mahindra-xuv500-w4-2015-6743309a477f52265f8b45af,2015,Mahindra,XUV500,W4,78000.0,1.0,Manual,Diesel,SUV,DL 2C,Delhi
2021 Honda Civic V CVT i-VTEC BS6,https://droom.in/product/honda-civic-v-cvt-i-vtec-bs6-2021-677ba613a7f96e987e8b45ae,2021,Honda,Civic,V CVT I-VTEC BS6,76000.0,1.0,Automatic,Petrol,Sedan,HG 78,Delhi
2018 Jaguar F-Pace Prestige,https://droom.in/product/jaguar-f-pace-prestige-2018-679dc1d87ed669b50a8b456b,2018,Jaguar,F-PACE,PRESTIGE,75000.0,1.0,Automatic,Diesel,SUV,HR 51,Delhi
2020 Maruti Suzuki Vitara Brezza VXi BS6,https://droom.in/product/maruti-suzuki-vitara-brezza-vxi-bs6-2020-6739e8d3c28a75c2228b459b,2020,Maruti Suzuki,Vitara Brezza,VXI,46000.0,1.0,Manual,Petrol,SUV,DL 7C,Delhi
2005 Hyundai Sonata Embera 2.4 AT,https://droom.in/product/hyundai-sonata-embera-24-at-2005-69244887f16a5171058b456a,2005,Hyundai,sonata embera,2.4 AT,50000.0,1.0,Automatic,Petrol,Sedan,PB 13,Dehradun
2019 Maruti Suzuki Baleno Delta 1.2,https://droom.in/product/maruti-suzuki-baleno-delta-12-2019-687df3f39c4c6de1678b459a,2019,Maruti Suzuki,Baleno,DELTA 1.2,46000.0,1.0,Manual,Petrol,Hatchback,DL 2C,Delhi
2024 MG Astor Savvy Pro 1.5 CVT Ivory,https://droom.in/product/mg-astor-savvy-pro-15-cvt-ivory-2024-6826cfb1300150da058b4584,2024,MG,Astor,Savvy Pro 1.5 CVT Ivory,5000.0,1.0,Automatic,Petrol,SUV,HR 26,Delhi
2014 Honda City SV i-DTEC,https://droom.in/product/honda-city-sv-i-dtec-2014-681c59eb49717527638b4575,2014,Honda,City,SV I-DTEC,101449.0,3.0,Manual,Diesel,Sedan,WB 02,Kolkata
2016 Hyundai i20 Sportz 1.2,https://droom.in/product/hyundai-i20-sportz-12-2016-68107ffa732350ec698b4582,2016,Hyundai,i20,SPORTZ 1.2,71000.0,1.0,Manual,Petrol,Hatchback,HR 26,Delhi
