Make,Model,Year,Engine Size,Mileage,Fuel Type,Transmission,Price,Car_Age
Honda,Model D,2009,2.7,80212,Electric,Manual,26886.03,16
Ford,Model D,2016,4.0,93738,Electric,Manual,29864.98,9
Ford,Model A,2017,4.3,183167,Diesel,Automatic,23258.82,8
BMW,Model E,2014,1.9,135734,Petrol,Manual,20386.91,11
Audi,Model C,2011,1.6,182500,Diesel,Manual,19658.65,14
Ford,Model B,2010,2.4,115436,Diesel,Automatic,22585.05,15
Ford,Model B,2006,2.3,195075,Diesel,Manual,15201.82,19
Toyota,Model B,2005,4.0,48339,Electric,Manual,25775.96,20
Ford,Model B,2018,4.2,100080,Petrol,Automatic,31787.21,7
Toyota,Model B,2004,3.0,73367,Petrol,Manual,22537.0,21
Honda,Model C,2021,1.2,137868,Petrol,Automatic,26319.62,4
Toyota,Model B,2014,2.1,126549,Petrol,Automatic,25798.78,11
Ford,Model D,2016,4.2,43478,Diesel,Manual,34168.46,9
Ford,Model E,2019,2.9,194500,Electric,Automatic,23027.29,6
Ford,Model C,2018,2.1,34354,Petrol,Manual,28606.51,7
Audi,Model B,2007,3.3,171151,Electric,Automatic,21446.9,18
Toyota,Model E,2016,1.1,133196,Petrol,Manual,21037.92,9
Honda,Model C,2010,1.7,179990,Diesel,Manual,19122.33,15
Toyota,Model D,2011,3.7,133373,Petrol,Automatic,28016.31,14
Audi,Model E,2015,4.2,23801,Electric,Automatic,33130.96,10
Toyota,Model B,2019,4.3,99600,Electric,Manual,34015.66,6
Toyota,Model B,2014,1.9,73993,Electric,Automatic,22311.19,11
BMW,Model B,2011,1.8,3079,Diesel,Manual,27413.62,14
Toyota,Model C,2020,1.8,49973,Diesel,Automatic,29363.58,5
Honda,Model E,2004,2.3,29386,Electric,Manual,27608.24,21
Toyota,Model A,2003,2.3,55417,Electric,Manual,20155.17,22
Audi,Model E,2013,2.2,44014,Diesel,Manual,26943.15,12
Honda,Model E,2020,3.9,131990,Petrol,Automatic,27270.05,5
Ford,Model E,2000,3.4,108507,Petrol,Manual,18434.51,25
BMW,Model B,2001,1.4,126804,Diesel,Manual,17233.3,24
Ford,Model C,2001,2.7,15458,Diesel,Automatic,23972.16,24
Audi,Model D,2014,4.2,103810,Electric,Manual,28731.07,11
Toyota,Model E,2008,2.8,132559,Diesel,Automatic,22012.08,17
Ford,Model E,2006,1.0,22312,Petrol,Manual,25477.85,19
Ford,Model C,2006,4.3,123842,Petrol,Automatic,28048.66,19
Toyota,Model B,2007,1.5,47934,Electric,Automatic,22541.9,18
Audi,Model D,2010,2.5,31233,Electric,Manual,29716.7,15
Honda,Model A,2003,2.3,11602,Diesel,Automatic,22923.49,22
Toyota,Model C,2018,1.5,68860,Electric,Automatic,30667.84,7
Toyota,Model B,2014,1.2,152658,Petrol,Automatic,18792.57,11
BMW,Model D,2021,4.1,142714,Electric,Automatic,30176.21,4
Audi,Model B,2010,4.0,188250,Petrol,Manual,18702.31,15
Honda,Model B,2014,1.5,12974,Electric,Manual,25205.93,11
Audi,Model C,2016,2.1,193148,Electric,Automatic,18835.61,9
Audi,Model D,2006,2.8,127136,Diesel,Automatic,19877.79,19
Ford,Model E,2008,1.4,96442,Electric,Manual,22334.56,17
Ford,Model C,2013,1.5,14539,Electric,Manual,22969.13,12
BMW,Model D,2016,3.7,125466,Electric,Automatic,27609.18,9
Honda,Model D,2009,4.0,120331,Electric,Manual,24387.27,16
Ford,Model D,2007,1.5,116274,Petrol,Manual,19796.4,18
BMW,Model D,2008,2.4,45955,Electric,Manual,24457.28,17
Ford,Model D,2016,3.4,93303,Electric,Manual,32003.84,9
Audi,Model E,2006,1.5,28906,Electric,Automatic,24991.69,19
Ford,Model C,2012,1.6,124567,Electric,Manual,19567.91,13
Ford,Model D,2003,3.9,116816,Diesel,Manual,22252.88,22
Toyota,Model C,2002,1.8,136870,Petrol,Automatic,17531.26,23
Toyota,Model A,2008,3.7,107707,Petrol,Manual,29028.11,17
Audi,Model D,2018,4.5,42846,Electric,Manual,35834.4,7
Ford,Model D,2005,1.7,41001,Electric,Manual,24973.32,20
Toyota,Model D,2021,3.6,63634,Petrol,Automatic,38159.64,4
Ford,Model A,2002,3.8,120578,Electric,Automatic,22791.64,23
Honda,Model A,2015,3.3,34218,Petrol,Manual,32024.24,10
Ford,Model B,2005,1.2,10921,Electric,Automatic,23984.95,20
Honda,Model C,2009,4.0,119340,Electric,Automatic,20201.0,16
Ford,Model D,2010,1.4,13806,Petrol,Automatic,25295.8,15
Ford,Model A,2001,1.1,186985,Electric,Automatic,10358.05,24
Audi,Model E,2013,2.1,39801,Petrol,Manual,26706.93,12
Ford,Model E,2020,3.5,183844,Electric,Manual,27447.49,5
Ford,Model A,2010,2.1,171066,Diesel,Manual,21537.95,15
Audi,Model D,2008,3.8,13720,Petrol,Manual,27885.98,17
Toyota,Model A,2020,1.4,72599,Petrol,Automatic,26781.63,5
BMW,Model C,2014,3.7,112033,Diesel,Automatic,23874.1,11
Audi,Model E,2020,3.5,33653,Diesel,Automatic,33602.47,5
Audi,Model B,2020,3.5,110914,Diesel,Automatic,29338.13,5
Audi,Model B,2002,3.2,177300,Electric,Manual,12568.16,23
Honda,Model B,2017,3.3,6276,Electric,Automatic,34805.56,8
Audi,Model C,2018,2.3,126705,Electric,Manual,27010.56,7
Toyota,Model E,2020,4.0,85654,Electric,Manual,33334.35,5
Toyota,Model B,2020,1.5,156252,Electric,Automatic,27227.66,5
Honda,Model B,2011,1.9,114419,Petrol,Manual,22743.27,14
BMW,Model D,2012,2.1,73390,Diesel,Automatic,24761.19,13
Honda,Model D,2001,2.4,169913,Diesel,Automatic,18541.18,24
Ford,Model D,2008,1.2,166700,Petrol,Automatic,17208.45,17
Toyota,Model E,2019,2.3,79021,Diesel,Automatic,31432.38,6
BMW,Model A,2010,2.1,94697,Diesel,Manual,28605.59,15
Toyota,Model E,2007,3.2,48056,Electric,Automatic,29592.46,18
BMW,Model A,2020,1.0,80283,Petrol,Automatic,25175.6,5
Honda,Model C,2003,3.5,77827,Diesel,Manual,21225.3,22
Ford,Model E,2005,3.6,50809,Petrol,Automatic,24549.01,20
Ford,Model A,2015,1.5,137235,Diesel,Automatic,23513.57,10
Ford,Model A,2000,1.9,128518,Petrol,Automatic,17818.48,25
Toyota,Model A,2019,2.9,136452,Diesel,Automatic,24828.54,6
Honda,Model D,2008,4.2,53805,Petrol,Automatic,31846.5,17
Ford,Model B,2019,2.3,196671,Diesel,Automatic,23441.54,6
Honda,Model C,2013,1.4,7305,Petrol,Manual,30106.54,12
Toyota,Model B,2015,4.0,149741,Petrol,Automatic,26622.03,10
Toyota,Model C,2017,1.6,80990,Diesel,Automatic,23872.15,8
Honda,Model C,2002,3.5,156021,Petrol,Automatic,18572.43,23
Ford,Model C,2002,1.1,146932,Diesel,Automatic,17011.73,23
Toyota,Model A,2011,2.2,60157,Diesel,Manual,25206.71,14
Ford,Model C,2006,4.0,154348,Petrol,Automatic,23514.45,19
Toyota,Model A,2014,1.8,149092,Electric,Manual,21264.71,11
Ford,Model E,2014,1.6,153789,Petrol,Manual,20986.01,11
Honda,Model E,2020,2.1,47563,Electric,Manual,30269.44,5
BMW,Model B,2009,4.0,26360,Diesel,Manual,28486.8,16
BMW,Model A,2017,4.3,76595,Petrol,Automatic,32467.74,8
Ford,Model D,2008,3.3,143131,Petrol,Automatic,23154.54,17
Honda,Model B,2011,2.9,165201,Electric,Automatic,23348.02,14
Ford,Model C,2020,2.2,188620,Electric,Manual,25838.93,5
BMW,Model B,2002,2.2,93917,Electric,Automatic,17692.91,23
BMW,Model A,2007,3.5,171302,Petrol,Automatic,17268.06,18
Honda,Model D,2017,2.2,594,Diesel,Manual,32190.39,8
Audi,Model B,2005,1.9,89927,Petrol,Automatic,20819.15,20
BMW,Model E,2016,3.3,137906,Diesel,Automatic,25645.83,9
Ford,Model C,2009,2.2,22989,Electric,Manual,28514.86,16
Honda,Model D,2014,2.3,169857,Diesel,Manual,21249.23,11
BMW,Model B,2021,2.9,131002,Electric,Automatic,30826.52,4
Honda,Model E,2012,2.3,72778,Electric,Automatic,27402.65,13
Ford,Model D,2021,2.1,188058,Electric,Automatic,24382.52,4
Audi,Model C,2010,1.5,19352,Petrol,Automatic,27033.35,15
BMW,Model B,2009,3.5,41992,Electric,Automatic,29094.85,16
Toyota,Model A,2015,1.5,123555,Electric,Automatic,23550.4,10
Toyota,Model B,2015,1.8,45836,Electric,Automatic,25620.48,10
Toyota,Model E,2021,4.4,189525,Diesel,Manual,27474.37,4
BMW,Model B,2020,3.3,178650,Diesel,Manual,26300.42,5
Ford,Model E,2013,3.6,51121,Diesel,Manual,32318.66,12
Honda,Model D,2007,1.6,129036,Petrol,Automatic,15741.23,18
Audi,Model C,2002,3.7,85770,Diesel,Automatic,20497.38,23
Toyota,Model E,2018,1.9,35076,Petrol,Automatic,33396.91,7
BMW,Model A,2013,2.2,98205,Petrol,Manual,25610.18,12
BMW,Model D,2017,3.7,114379,Petrol,Automatic,29912.37,8
Honda,Model A,2006,4.1,164303,Diesel,Automatic,24478.66,19
BMW,Model B,2002,2.5,20215,Petrol,Automatic,24369.52,23
Audi,Model A,2001,2.4,180251,Electric,Manual,17639.68,24
Audi,Model B,2004,3.5,50822,Electric,Automatic,24251.65,21
Audi,Model B,2005,2.0,26543,Petrol,Manual,19734.98,20
Audi,Model D,2000,2.5,176703,Petrol,Manual,15517.02,25
Audi,Model E,2008,3.5,157678,Electric,Manual,22992.05,17
Ford,Model B,2002,2.7,164361,Diesel,Automatic,15368.82,23
Toyota,Model D,2020,2.2,161787,Electric,Automatic,25713.03,5
Ford,Model A,2008,3.6,10136,Petrol,Automatic,29720.27,17
Audi,Model C,2006,4.5,35445,Diesel,Manual,28190.81,19
Toyota,Model A,2021,2.1,96651,Diesel,Manual,30329.3,4
Toyota,Model C,2004,3.6,159109,Electric,Automatic,21252.91,21
Toyota,Model D,2006,3.8,56064,Petrol,Automatic,27300.85,19
Toyota,Model B,2004,2.6,14134,Diesel,Automatic,22041.8,21
Ford,Model E,2011,1.3,111318,Diesel,Automatic,17446.95,14
Toyota,Model E,2002,2.1,100492,Electric,Manual,18897.58,23
Audi,Model C,2012,2.3,22659,Diesel,Automatic,30121.84,13
Audi,Model E,2001,4.1,177014,Diesel,Manual,18821.73,24
Audi,Model A,2006,1.6,23019,Electric,Manual,22198.78,19
Audi,Model E,2015,2.5,71446,Petrol,Manual,25349.92,10
Honda,Model D,2009,3.3,197631,Diesel,Manual,17507.8,16
Honda,Model A,2004,4.5,159179,Electric,Automatic,20029.65,21
BMW,Model A,2015,2.3,100258,Electric,Manual,23452.22,10
Honda,Model D,2008,2.7,148468,Electric,Manual,20467.62,17
Audi,Model B,2014,3.7,113506,Petrol,Manual,25004.32,11
Honda,Model C,2010,2.9,75104,Diesel,Manual,25329.21,15
Ford,Model E,2020,3.3,167952,Petrol,Automatic,26360.95,5
Toyota,Model B,2014,2.3,148223,Petrol,Manual,23018.98,11
Honda,Model E,2015,2.9,141419,Electric,Manual,23426.45,10
Honda,Model A,2005,3.3,148223,Diesel,Automatic,23340.54,20
Audi,Model E,2011,2.5,120263,Petrol,Automatic,22505.3,14
Ford,Model A,2005,3.3,71796,Electric,Automatic,22740.2,20
Honda,Model A,2004,3.5,145381,Electric,Manual,22151.41,21
BMW,Model B,2006,4.1,941,Diesel,Automatic,32894.26,19
Audi,Model D,2006,3.8,47542,Electric,Manual,26010.17,19
Audi,Model B,2006,1.9,95616,Petrol,Manual,21725.01,19
BMW,Model B,2019,3.4,141691,Electric,Automatic,28900.66,6
Audi,Model A,2005,3.4,198275,Petrol,Automatic,16599.84,20
Ford,Model A,2017,1.2,115672,Diesel,Automatic,25760.16,8
Audi,Model A,2003,3.9,49089,Diesel,Automatic,27179.25,22
Audi,Model D,2002,3.4,81094,Petrol,Manual,20736.81,23
Ford,Model A,2009,3.4,109880,Electric,Automatic,22731.9,16
Honda,Model C,2017,4.2,74447,Petrol,Automatic,34176.72,8
BMW,Model A,2004,2.0,93254,Petrol,Automatic,19465.83,21
BMW,Model A,2000,2.6,70976,Electric,Manual,20772.09,25
BMW,Model E,2015,3.2,185157,Diesel,Manual,22254.72,10
BMW,Model C,2010,4.3,140048,Petrol,Manual,22997.13,15
Audi,Model D,2021,4.0,155781,Electric,Manual,29605.4,4
Ford,Model D,2016,3.0,54850,Petrol,Automatic,29303.18,9
BMW,Model B,2020,3.5,79082,Petrol,Manual,32789.6,5
Audi,Model C,2010,1.1,32700,Diesel,Manual,27694.27,15
