Make,Model,Year,Engine Size,Mileage,Fuel Type,Transmission,Price
Honda,Model D,2009.0,2.7,80212.0,Electric,Manual,26886.03052179401
Ford,Model D,2016.0,4.0,93738.0,Electric,Manual,29864.97521059861
Ford,Model A,2017.0,4.3,183167.0,Diesel,Automatic,23258.81585278998
BMW,Model E,2014.0,1.9,135734.0,Petrol,Manual,20386.90511133151
Audi,Model C,,1.6,182500.0,Diesel,Manual,19658.64928968056
Ford,Model B,2010.0,2.4,115436.0,Diesel,Automatic,22585.045144714004
Ford,Model B,2006.0,2.3,195075.0,Diesel,Manual,15201.819701279872
Toyota,Model B,2005.0,4.0,48339.0,Electric,Manual,25775.955434465643
Ford,Model B,2018.0,4.2,100080.0,Petrol,Automatic,31787.21409569073
Toyota,,2004.0,3.0,73367.0,Petrol,Manual,22537.00107450186
Honda,Model C,2021.0,1.2,137868.0,Petrol,Automatic,26319.61713148224
Toyota,Model B,2014.0,2.1,126549.0,Petrol,Automatic,25798.778828471724
Ford,Model D,2016.0,4.2,43478.0,Diesel,Manual,34168.459096485334
Ford,Model E,2019.0,2.9,194500.0,Electric,Automatic,23027.293751620386
Ford,Model C,2018.0,2.1,34354.0,Petrol,Manual,28606.50891750727
Audi,Model B,2007.0,3.3,171151.0,Electric,Automatic,21446.90036483433
Toyota,Model E,2016.0,1.1,133196.0,Petrol,Manual,21037.919235227037
Honda,Model C,2010.0,1.7,179990.0,Diesel,Manual,19122.332926758994
Toyota,Model D,2011.0,3.7,133373.0,Petrol,Automatic,28016.313536683305
Audi,Model E,2015.0,4.2,23801.0,Electric,Automatic,33130.9552037887
Toyota,Model B,2019.0,4.3,,Electric,Manual,34015.65754135197
Toyota,Model B,2014.0,1.9,73993.0,Electric,Automatic,22311.185177122003
BMW,Model B,2011.0,1.8,3079.0,Diesel,Manual,27413.62067197073
Toyota,Model C,2020.0,1.8,49973.0,Diesel,Automatic,29363.583075075745
Honda,Model E,2004.0,2.3,29386.0,Electric,Manual,27608.243309035577
Toyota,Model A,2003.0,2.3,55417.0,Electric,Manual,20155.171425089247
Audi,Model E,2013.0,2.2,44014.0,Diesel,Manual,26943.14914332724
Honda,Model E,2020.0,3.9,131990.0,Petrol,Automatic,27270.04844078362
Ford,Model E,2000.0,3.4,108507.0,Petrol,Manual,18434.508527892474
BMW,Model B,2001.0,1.4,126804.0,Diesel,Manual,17233.295570510694
Ford,Model C,2001.0,2.7,15458.0,Diesel,Automatic,23972.155067661504
Audi,Model D,2014.0,4.2,103810.0,Electric,Manual,28731.073528432476
Toyota,Model E,2008.0,2.8,132559.0,Diesel,Automatic,22012.083612032973
Ford,Model E,2006.0,1.0,22312.0,Petrol,Manual,25477.85297886246
Ford,Model C,2006.0,4.3,123842.0,Petrol,Automatic,28048.66284582877
Toyota,Model B,2007.0,1.5,47934.0,Electric,Automatic,22541.895123757084
Audi,Model D,2010.0,2.5,31233.0,Electric,Manual,29716.696743576744
Honda,Model A,2003.0,2.3,11602.0,Diesel,Automatic,22923.48739589334
Toyota,Model C,2018.0,1.5,68860.0,Electric,Automatic,30667.836665617368
Toyota,Model B,2014.0,1.2,152658.0,Petrol,Automatic,18792.574660668342
BMW,Model D,2021.0,4.1,142714.0,Electric,Automatic,30176.21210381421
Audi,Model B,2010.0,4.0,188250.0,Petrol,Manual,18702.31108185261
Honda,Model B,2014.0,1.5,12974.0,Electric,Manual,25205.93443441819
Audi,Model C,2016.0,2.1,193148.0,Electric,Automatic,18835.6128636999
Audi,Model D,2006.0,2.8,127136.0,Diesel,Automatic,19877.78829925971
Ford,Model E,2008.0,1.4,96442.0,Electric,Manual,22334.556153139325
Ford,Model C,2013.0,1.5,14539.0,Electric,Manual,22969.13062061833
BMW,Model D,2016.0,3.7,125466.0,Electric,Automatic,27609.184179983127
Honda,Model D,2009.0,4.0,120331.0,Electric,Manual,24387.273031558685
Ford,Model D,2007.0,1.5,116274.0,Petrol,Manual,19796.404998009886
BMW,Model D,2008.0,2.4,45955.0,Electric,Manual,24457.28330653933
Ford,Model D,2016.0,3.4,93303.0,Electric,Manual,32003.83593063025
Audi,Model E,2006.0,1.5,28906.0,Electric,Automatic,24991.69070077868
Ford,Model C,2012.0,1.6,124567.0,Electric,Manual,19567.908915118685
Ford,Model D,2003.0,3.9,116816.0,Diesel,Manual,22252.878552756887
Toyota,Model C,2002.0,1.8,136870.0,Petrol,Automatic,17531.256642242748
